name,link,desc,price,rarity,amount,magicspecific,attunement,new,restocked,special
Scudo a torre,/xho/oggetti#scudo-a-torre,1/2 copertura in cono o 1 nemico,45,comune,2,,,,,
Scudo spinato,,anche arma 1d4,35,comune,1,,,,,
Bracciali da parata,,Reazione: +2 CA,12,comune,3,,,,,
Bracciali da parata di adamantio,,^ e se tiro = CA rompe arma,520,raro,1,,,x,,
Olio argenteo,/xho/oggetti#oli-alchemici,per licantropi ecc.,18,comune,3,,,,,
Ascia da battaglia [*aerodinamica*](/xho/oggetti#modificatori-di-armi-e-armature),,lanciabile,70,comune,1,,,,,
Falcione [*con incavo*](/xho/oggetti#modificatori-di-armi-e-armature),,slot gemma magica per effetti,70,comune,1,,,,,
Spada lunga [*a due lame*](/xho/oggetti#modificatori-di-armi-e-armature),,meno danni e attacco bonus,300,comune,1,,,,,
Giaco di maglia [*di mithril*](/xho/oggetti#metalli),,+1 bonus Des. CA,200,non com.,2,,,,,
Scudo +1,,,1000,non com.,2,,,,,
Armatura +1 (su richiesta),,,base + 2500,non com.,-,,,,,
Pugnale [*di ferronero*](/xho/oggetti#metalli),,vant. al buio,80,non com.,2,,,,x,
Cotta di maglia [*di stahlrim* (ice steel)](/xho/oggetti#metalli),,resistenza a fuoco,1500,non com.,1,,,,,
Mezza armatura [*perfetta*](/xho/oggetti#modificatori-di-armi-e-armature),,Rid. danni 2,6000,raro,1,x,,,,
Altre armi e armature modificate,/xho/oggetti#modificatori-di-armi-e-armature,Effetti vari (esempi qua),varia,-,-,,,x,,
